column,missing_count
map_mean,6281
map_min,6675
map_below65_hours,8123
sbp_min,7118
sbp_mean,6735
shock_index_mean,6878
hr_max,6486
hr_mean,6227
rr_max,6760
rr_mean,6665
temp_max,7426
temp_mean,7747
urine_output_sum,5423
urine_output_6h,4813
urine_ml_kg_hr,5423
oliguria_flag,4813
creatinine_min,6785
creatinine_max,6428
creatinine_delta,5454
bun_max,6464
bun_cr_ratio,6601
lactate_max,21059
lactate_mean,21055
vasopressor_flag,4813
vasopressor_hours,4813
norepi_dose_max,28211
potassium_max,6114
potassium_mean,5861
bicarbonate_min,6232
bicarbonate_mean,6289
sodium_min,6239
sodium_max,6594
hemoglobin_min,5599
hemoglobin_mean,5599
spo2_min,7696
spo2_mean,6439
