feature,importance
hemoglobin_mean,502
bun_max,448
bun_cr_ratio,377
bicarbonate_mean,359
creatinine_max,335
hemoglobin_min,318
potassium_mean,286
hr_mean,276
spo2_mean,273
creatinine_min,249
urine_output_sum,235
sodium_min,233
temp_max,232
rr_mean,224
hr_max,216
sodium_max,214
bicarbonate_min,210
sbp_min,209
urine_output_6h,197
potassium_max,195
sbp_mean,190
shock_index_mean,176
map_mean,162
creatinine_delta,139
temp_mean,135
lactate_mean,131
lactate_max,122
map_below65_hours,110
map_min,110
vasopressor_hours,77
spo2_min,67
rr_max,54
norepi_dose_max,12
vasopressor_flag,5
oliguria_flag,1
