Feature,Importance
urine_output_6h,0.17624097
hemoglobin_min,0.060703594
hemoglobin_mean,0.051211838
map_mean,0.03577
spo2_mean,0.034565095
creatinine_max,0.029077014
urine_output_sum,0.028622556
bun_max,0.028026221
rr_mean,0.027764866
hr_mean,0.026449189
map_min,0.025664818
oliguria_flag,0.02547831
hr_max,0.024799183
creatinine_min,0.0244587
potassium_max,0.024434995
shock_index_mean,0.024276204
creatinine_delta,0.022009626
sbp_mean,0.021432592
bun_cr_ratio,0.021006865
spo2_min,0.02080552
temp_mean,0.02069419
potassium_mean,0.020446366
vasopressor_hours,0.020397553
bicarbonate_mean,0.01964487
lactate_max,0.019517332
sbp_min,0.01921785
norepi_dose_max,0.019088851
rr_max,0.018976115
sodium_max,0.01878461
map_below65_hours,0.018634327
lactate_mean,0.018615646
bicarbonate_min,0.018188477
temp_max,0.017572155
sodium_min,0.017423533
vasopressor_flag,0.0
