Feature,Importance
urine_output_6h,11.163435761766708
hemoglobin_mean,9.093638379408098
creatinine_max,6.511535471002062
hr_mean,5.552348167988188
bun_max,4.600945526086154
rr_mean,3.8765017572090636
potassium_mean,3.6437294240701306
urine_output_sum,3.437703305546956
spo2_mean,3.3417261490785863
hemoglobin_min,3.3193106798031753
potassium_max,3.208679243996166
shock_index_mean,2.8509101954505756
creatinine_min,2.709759288201849
hr_max,2.6462824176615
bicarbonate_min,2.511690757979665
bun_cr_ratio,2.3537420083439597
bicarbonate_mean,2.344697274743257
sbp_min,2.302619836957637
temp_mean,2.278410017532463
map_below65_hours,2.1134967436023615
sodium_min,2.01575040245156
temp_max,1.8241591513111384
oliguria_flag,1.7614381638385772
creatinine_delta,1.5884247646647391
map_mean,1.5883467030580398
vasopressor_hours,1.5210237918337939
lactate_mean,1.447220770026875
spo2_min,1.3804736036686456
sbp_mean,1.2850435231621467
map_min,1.1659944352929779
rr_max,1.162207911332207
sodium_max,1.1394357335597636
lactate_max,1.0230726827068024
norepi_dose_max,0.8604023560007504
vasopressor_flag,0.37584360066345
