Feature,Importance
urine_output_6h,0.05895397
urine_output_sum,0.036329295
hemoglobin_mean,0.036238894
creatinine_max,0.035660576
hemoglobin_min,0.03259158
map_min,0.030857526
bicarbonate_mean,0.030191788
bun_max,0.029292027
hr_max,0.028589424
hr_mean,0.028524319
spo2_mean,0.028002517
map_below65_hours,0.02785224
bicarbonate_min,0.027823946
map_mean,0.027558519
potassium_max,0.027516508
potassium_mean,0.027212048
rr_mean,0.027135605
lactate_max,0.026951829
creatinine_min,0.026834803
shock_index_mean,0.026557697
bun_cr_ratio,0.026538238
vasopressor_flag,0.026314411
sbp_mean,0.026188651
spo2_min,0.026166348
sbp_min,0.02610047
creatinine_delta,0.026035402
temp_mean,0.02602487
vasopressor_hours,0.025300154
rr_max,0.025183065
temp_max,0.025179125
lactate_mean,0.025170092
sodium_min,0.024988668
sodium_max,0.024725314
oliguria_flag,0.022754015
norepi_dose_max,0.022656059
