Feature,Importance
hemoglobin_mean,7.102953567868772
urine_output_6h,6.290844207497709
bicarbonate_mean,4.803990406470564
creatinine_max,4.743457172875475
hemoglobin_min,4.627339796270719
bun_max,4.62413393534646
potassium_mean,4.093760327189004
bun_cr_ratio,3.9409046099638863
bicarbonate_min,3.78296969069312
urine_output_sum,3.4361435559611992
hr_mean,3.2516321655627083
sodium_max,3.2352712295766444
sodium_min,3.101317650271888
rr_mean,3.0723322121419097
spo2_mean,2.871635838315467
shock_index_mean,2.836792834164416
temp_mean,2.7606142011315797
potassium_max,2.458654783473725
lactate_mean,2.40059492815138
creatinine_delta,2.396660243491036
creatinine_min,2.3163483612841653
temp_max,2.1703390678612466
map_mean,2.105512296637393
oliguria_flag,2.0588521243455196
sbp_mean,2.024882879756393
sbp_min,1.9852522105166492
hr_max,1.92798190030086
map_below65_hours,1.835558024314164
map_min,1.8030629489478005
spo2_min,1.5687567151078652
rr_max,1.212233638683375
vasopressor_hours,1.106989649436768
lactate_max,1.0769243671131552
vasopressor_flag,0.7149236717303947
norepi_dose_max,0.2603787875465927
