Feature,Importance
hemoglobin_mean,5.84596882455135
creatinine_max,5.36609785995947
hemoglobin_min,5.054879231369912
bun_max,4.988948109359335
bicarbonate_mean,4.397478511262257
urine_output_6h,4.310269685309565
potassium_mean,3.8557499168513876
urine_output_sum,3.7199978971457446
bun_cr_ratio,3.70671019931399
sodium_max,3.6068890822240776
creatinine_min,3.5399565005098035
bicarbonate_min,3.289419113296361
oliguria_flag,3.287524469575395
potassium_max,3.1981490948742994
sodium_min,3.063985068730285
creatinine_delta,2.906254704173248
hr_mean,2.7159845024837512
rr_mean,2.656110187621659
spo2_mean,2.474329983898917
temp_max,2.414270643076994
map_below65_hours,2.2725515209215255
map_mean,2.260015037869141
temp_mean,2.187021178304901
shock_index_mean,2.067630924357941
spo2_min,2.011939886861207
lactate_mean,1.9236856232041353
hr_max,1.8732760573452802
map_min,1.82732737660785
sbp_mean,1.7824996921935785
rr_max,1.6020299793081876
sbp_min,1.5296042045153129
lactate_max,1.5006750966495899
vasopressor_hours,1.340083324005421
vasopressor_flag,1.0863454462381883
norepi_dose_max,0.3363410660299184
