Variable,AKI,Non_AKI,p_value
age,66.00 (55.00-76.00),61.00 (49.00-72.00),1.9653244283932318e-116
map_mean,79.95 (72.96-88.45),80.89 (74.08-88.91),0.0006002089242561557
map_min,61.00 (54.00-70.00),61.00 (54.00-69.00),0.8293130383955509
map_below65_hours,1.00 (0.00-4.07),1.00 (0.00-4.93),0.2056380150738233
sbp_min,95.00 (84.00-109.00),96.00 (87.00-106.00),0.28282414975382664
sbp_mean,118.45 (106.00-132.86),119.33 (109.23-131.03),0.010324906787243557
shock_index_mean,0.73 (0.61-0.88),0.69 (0.59-0.80),6.507660744619318e-26
hr_max,107.00 (92.00-122.00),103.00 (91.00-116.00),1.7695574160173752e-10
hr_mean,86.54 (75.55-98.81),82.23 (72.94-92.55),5.690352730716278e-30
rr_max,28.00 (24.00-34.00),28.00 (24.00-32.00),0.03469447587343831
rr_mean,19.48 (17.13-22.72),18.40 (16.50-20.82),8.542365264866917e-40
temp_max,99.40 (98.60-100.60),99.00 (98.60-99.70),1.74104805753308e-23
temp_mean,98.56 (98.10-99.22),98.33 (98.04-98.69),5.489052917337248e-45
urine_output_sum,265.00 (0.00-2745.00),3025.00 (1930.00-4375.00),0.0
urine_output_6h,0.00 (0.00-475.00),0.00 (0.00-0.00),0.0
urine_ml_kg_hr,0.08 (0.00-0.82),0.90 (0.57-1.30),0.0
creatinine_min,0.70 (0.60-0.90),0.70 (0.50-0.80),1.0261384116864311e-33
creatinine_max,0.80 (0.70-1.00),0.80 (0.60-0.90),2.471673727523042e-20
creatinine_delta,0.10 (0.00-0.10),0.10 (0.00-0.10),6.694606821726849e-22
bun_max,17.00 (13.00-23.00),15.00 (11.00-20.00),2.3043322801341925e-59
bun_cr_ratio,21.11 (16.20-28.33),20.00 (15.00-26.00),3.32075219735896e-29
lactate_max,1.70 (1.20-2.75),1.80 (1.20-2.60),0.9122787926337784
lactate_mean,1.55 (1.15-2.23),1.60 (1.20-2.10),0.5144508828305298
vasopressor_hours,0.00 (0.00-0.00),0.00 (0.00-0.00),0.014076121279065644
norepi_dose_max,0.15 (0.08-0.30),0.10 (0.05-0.18),1.2598493581994905e-13
potassium_max,4.20 (3.90-4.50),4.20 (3.90-4.50),0.8077425977547665
potassium_mean,4.00 (3.75-4.30),4.00 (3.75-4.25),0.003081742659876291
bicarbonate_min,24.00 (22.00-27.00),23.00 (21.00-26.00),2.893412266085776e-32
bicarbonate_mean,25.00 (23.00-28.00),24.50 (22.50-26.67),8.847556315258394e-22
sodium_min,138.00 (135.00-141.00),137.00 (135.00-140.00),1.8875681551948776e-09
sodium_max,140.00 (137.00-142.00),140.00 (138.00-142.00),0.13771872776301472
hemoglobin_min,10.70 (9.00-12.50),10.40 (8.90-11.90),2.4523832221770613e-13
hemoglobin_mean,11.00 (9.43-12.70),10.85 (9.43-12.30),9.538616581938771e-06
spo2_min,92.00 (89.00-95.00),92.00 (90.00-94.00),1.4908050581296562e-09
spo2_mean,97.00 (95.29-98.47),96.60 (95.43-97.73),2.2314681640991186e-14
