variable,cohens_d,abs_cohens_d,effect_size_category
urine_output_6h,2.004619760404562,2.004619760404562,Large
urine_output_sum,-0.7877923315690517,0.7877923315690517,Medium
urine_ml_kg_hr,-0.7877923315690513,0.7877923315690513,Medium
temp_mean,0.41371863461169806,0.41371863461169806,Small
rr_mean,0.36997611756486093,0.36997611756486093,Small
temp_max,0.3413528325298106,0.3413528325298106,Small
shock_index_mean,0.33097542145340114,0.33097542145340114,Small
hr_mean,0.300098283217182,0.300098283217182,Small
vasopressor_hours,0.2912282521693622,0.2912282521693622,Small
bun_max,0.2749560734931314,0.2749560734931314,Small
age,0.26477231094830633,0.26477231094830633,Small
bicarbonate_min,0.22029314890533175,0.22029314890533175,Small
creatinine_min,0.21193023531969168,0.21193023531969168,Small
bun_cr_ratio,0.20653944829271453,0.20653944829271453,Small
bicarbonate_mean,0.18626344713049683,0.18626344713049683,Very Small
hr_max,0.15871082410116305,0.15871082410116305,Very Small
hemoglobin_min,0.15404585776664448,0.15404585776664448,Very Small
creatinine_max,0.1459202656902746,0.1459202656902746,Very Small
lactate_mean,0.13537468823186052,0.13537468823186052,Very Small
spo2_mean,0.13519751960527132,0.13519751960527132,Very Small
creatinine_delta,-0.11404928270086122,0.11404928270086122,Very Small
lactate_max,0.10026011057525465,0.10026011057525465,Very Small
hemoglobin_mean,0.09979049795984546,0.09979049795984546,Very Small
spo2_min,0.08926969037774903,0.08926969037774903,Very Small
sodium_min,0.07974946820454737,0.07974946820454737,Very Small
potassium_mean,0.07090640532645674,0.07090640532645674,Very Small
rr_max,0.05772815861290713,0.05772815861290713,Very Small
map_mean,-0.05162785286727505,0.05162785286727505,Very Small
norepi_dose_max,0.038258836940523115,0.038258836940523115,Very Small
sbp_min,0.035906389171670966,0.035906389171670966,Very Small
sbp_mean,-0.02898036365744163,0.02898036365744163,Very Small
map_below65_hours,-0.021325291238146925,0.021325291238146925,Very Small
sodium_max,-0.0166001669033562,0.0166001669033562,Very Small
map_min,0.004014709186207025,0.004014709186207025,Very Small
potassium_max,-0.0011995413363324946,0.0011995413363324946,Very Small
