variable,test,p_value,AKI_median,NonAKI_median,fdr_p,significant,cohens_d,abs_cohens_d,effect_size_category
urine_output_6h,Mann-Whitney U,0.0,0.0,0.0,0.0,True,2.004619760404562,2.004619760404562,Large
urine_output_sum,Mann-Whitney U,0.0,265.0,3025.0,0.0,True,-0.7877923315690517,0.7877923315690517,Medium
urine_ml_kg_hr,Mann-Whitney U,0.0,0.0788690476190476,0.9002976190476191,0.0,True,-0.7877923315690513,0.7877923315690513,Medium
temp_mean,Mann-Whitney U,5.489052917337248e-45,98.55833333333334,98.33333333333331,2.6759132972019084e-44,True,0.41371863461169806,0.41371863461169806,Small
rr_mean,Mann-Whitney U,8.542365264866917e-40,19.479166666666668,18.404761904761905,3.7016916147756635e-39,True,0.36997611756486093,0.36997611756486093,Small
temp_max,Mann-Whitney U,1.74104805753308e-23,99.4,99.0,4.526724949586008e-23,True,0.3413528325298106,0.3413528325298106,Small
shock_index_mean,Mann-Whitney U,6.507660744619318e-26,0.731960826264899,0.6881541932627911,1.8128483502868099e-25,True,0.33097542145340114,0.33097542145340114,Small
hr_mean,Mann-Whitney U,5.690352730716278e-30,86.53868471953578,82.22916666666667,1.8493646374827903e-29,True,0.300098283217182,0.300098283217182,Small
vasopressor_hours,Mann-Whitney U,0.014076121279065644,0.0,0.0,0.018298957662785338,True,0.2912282521693622,0.2912282521693622,Small
bun_max,Mann-Whitney U,2.3043322801341925e-59,17.0,15.0,1.2838422703604787e-58,True,0.2749560734931314,0.2749560734931314,Small
age,Mann-Whitney U,1.9653244283932318e-116,66.0,61.0,1.2774608784556006e-115,True,0.26477231094830633,0.26477231094830633,Small
bicarbonate_min,Mann-Whitney U,2.893412266085776e-32,24.0,23.0,1.0258461670667752e-31,True,0.22029314890533175,0.22029314890533175,Small
creatinine_min,Mann-Whitney U,1.0261384116864311e-33,0.7,0.7,4.0019398055770816e-33,True,0.21193023531969168,0.21193023531969168,Small
bun_cr_ratio,Mann-Whitney U,3.32075219735896e-29,21.11111111111111,20.0,9.96225659207688e-29,True,0.20653944829271453,0.20653944829271453,Small
