variable,Q1,Q3,IQR,lower_bound,upper_bound,outlier_count,total_count,outlier_ratio_percent
vasopressor_hours,0.0,0.0,0.0,0.0,0.0,5688,35352,16.09
map_below65_hours,0.0,4.883333333333333,4.883333333333333,-7.324999999999999,12.208333333333332,2985,33565,8.89
norepi_dose_max,0.059984322433592724,0.20000258155050682,0.1400182591169141,-0.1500430662417784,0.41002997022587795,154,1876,8.21
spo2_min,90.0,94.0,4.0,84.0,100.0,2312,33595,6.88
creatinine_delta,0.0,0.1,0.1,-0.15000000000000002,0.25,2085,34453,6.05
temp_mean,98.04444444444444,98.70833333333331,0.6638888888888772,97.04861111111111,99.70416666666662,1973,33167,5.95
creatinine_min,0.6,0.8,0.20000000000000007,0.2999999999999999,1.1,1868,34453,5.42
urine_output_6h,0.0,0.0,0.0,0.0,0.0,1891,35352,5.35
lactate_max,1.2,2.6,1.4000000000000001,-0.9000000000000001,4.7,598,12542,4.77
sodium_max,138.0,142.0,4.0,132.0,148.0,1643,34458,4.77
bun_cr_ratio,15.0,26.0,11.0,-1.5,42.5,1613,34435,4.68
temp_max,98.6,99.8,1.2000000000000028,96.79999999999998,101.6,1530,33167,4.61
lactate_mean,1.2,2.1,0.9000000000000001,-0.15000000000000013,3.45,564,12542,4.5
bun_max,11.0,21.0,10.0,-4.0,36.0,1397,34446,4.06
creatinine_max,0.6,0.9,0.30000000000000004,0.1499999999999999,1.35,1335,34453,3.87
bicarbonate_mean,22.5,27.0,4.5,15.75,33.75,1149,34418,3.34
sodium_min,135.0,140.0,5.0,127.5,147.5,1121,34458,3.25
bicarbonate_min,21.0,26.0,5.0,13.5,33.5,1057,34418,3.07
potassium_max,3.9,4.5,0.6000000000000001,3.0,5.4,956,34460,2.77
rr_max,24.0,32.0,8.0,12.0,44.0,904,33531,2.7
map_min,54.0,69.0,15.0,31.5,91.5,856,33565,2.55
urine_ml_kg_hr,0.5050595238095238,1.2797619047619049,0.7747023809523811,-0.6569940476190478,2.4418154761904765,864,35352,2.44
urine_output_sum,1697.0,4300.0,2603.0,-2207.5,8204.5,864,35352,2.44
rr_mean,16.53191489361702,20.925925925925927,4.3940110323089066,9.940898345153661,27.51694247438929,805,33531,2.4
sbp_min,87.0,106.0,19.0,58.5,134.5,762,32816,2.32
hr_max,91.0,116.0,25.0,53.5,153.5,638,33609,1.9
potassium_mean,3.75,4.255555555555556,0.5055555555555564,2.9916666666666654,5.013888888888891,619,34460,1.8
spo2_mean,95.42222222222222,97.76190476190476,2.339682539682542,91.9126984126984,101.27142857142857,533,33595,1.59
shock_index_mean,0.5919235548825728,0.7990664995880676,0.20714294470549488,0.28120913782433044,1.10978091664631,424,32815,1.29
map_mean,74.0,88.88888888888889,14.888888888888886,51.66666666666667,111.22222222222221,292,33565,0.87
hr_mean,73.06382978723404,92.875,19.81117021276596,43.347074468085104,122.59175531914894,259,33609,0.77
sbp_mean,109.03101325757576,131.11111111111111,22.08009785353535,75.91086647727275,164.23125789141415,210,32816,0.64
hemoglobin_mean,9.433333333333332,12.3,2.866666666666669,5.133333333333328,16.600000000000005,94,34355,0.27
hemoglobin_min,8.9,12.0,3.0999999999999996,4.250000000000001,16.65,89,34355,0.26
age,51.0,73.0,22.0,18.0,106.0,0,42210,0.0
